	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
1	0	-1.1	-0.9	0.3	1	0.2	-1	-1.1	0	-0.5	0.3	0.4	-0.7
2	0.1	-1.8	-1.1	0.3	0.8	-0.1	-0.8	-0.7	-0.1	-0.4	0.8	0.5	-0.6
3	0.4	-1.9	-0.9	0.6	1.4	0.3	-0.7	-2	-0.8	-0.2	-0.3	0.6	-1.2
4	0.3	-1.6	-0.8	0.4	0.9	0.4	-1	-1.3	-0.2	-0.5	0.4	0.7	-0.8
5	-0.4	-1.4	-0.9	0.5	0.8	-0.4	-0.9	-1.1	-0.1	-0.4	0.7	0.6	-0.5
6	-0.9	-2.3	-1.4	0.3	1.3	0.8	0.6	-1.6	0	0	-0.6	-3.2	-1.4
7	-0.1	-1.8	-1.2	0.7	0.6	0.3	-0.9	-1.6	-0.4	-0.2	0.5	0.4	-0.9
8	0.2	-1.2	-1.1	0.7	0.9	-8.88E-16	-1.1	-1.3	-0.2	-0.4	0.3	0.8	-0.8
9	0.1	-1.3	-1.2	0.4	1.3	0	-1.3	-1	-0.4	-0.4	0.4	0.9	-1.1
10	0.5	-1.7	-1	0.4	0.9	0	-1	-1.3	0	-0.4	0.7	0.9	-0.6
11	0	-1.5	-0.8	0.6	0.7	0	-0.6	-1	-0.2	-0.3	0.2	0.5	-0.6
12	0.4	-1.7	-1.1	0.9	1.3	-0.1	-1.6	-1.6	-0.2	-0.6	0.9	1.5	-0.6
13	-0.3	-1.4	-1.2	0.4	1.7	0.3	-1.7	-1.6	-0.7	-0.3	0.9	2.4	-1.6
14	0.2	-1.7	-1.1	0.4	1.2	0.4	-1.4	-1.3	-0.4	-0.2	0.6	-0.5	-0.5
15	0.2	-1.7	-1	0.6	0.7	0.9	-1.8	-0.7	-0.5	-0.6	0.8	1.2	-0.9
16	0.3	-1.5	-1.1	0.2	0.9	-0.1	-0.9	-1.3	-0.1	-0.3	0.4	0.8	-0.6
