	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
1	0.2	-0.2	-1.1	0.1	0.8	0.4	-0.4	-0.9	0	-0.4	-0.4	0.7	-0.5
2	0.3	-0.9	-1.3	0.1	0.6	0.1	-0.2	-0.5	-0.1	-0.3	0.1	0.8	-0.4
3	0.6	-1	-1.1	0.4	1.2	0.5	-0.1	-1.8	-0.8	-0.1	-1	0.9	-1
4	0.5	-0.7	-1	0.2	0.7	0.6	-0.4	-1.1	-0.2	-0.4	-0.3	1	-0.6
5	-0.2	-0.5	-1.1	0.3	0.6	-0.2	-0.3	-0.9	-0.1	-0.3	0	0.9	-0.3
6	-0.7	-1.4	-1.6	0.1	1.1	1	1.2	-1.4	0	0.1	-1.3	-2.9	-1.2
7	0.1	-0.9	-1.4	0.5	0.4	0.5	-0.3	-1.4	-0.4	-0.1	-0.2	0.7	-0.7
8	0.4	-0.3	-1.3	0.5	0.7	0.2	-0.5	-1.1	-0.2	-0.3	-0.4	1.1	-0.6
9	0.3	-0.4	-1.4	0.2	1.1	0.2	-0.7	-0.8	-0.4	-0.3	-0.3	1.2	-0.9
10	0.7	-0.8	-1.2	0.2	0.7	0.2	-0.4	-1.1	0	-0.3	0	1.2	-0.4
11	0.2	-0.6	-1	0.4	0.5	0.2	0	-0.8	-0.2	-0.2	-0.5	0.8	-0.4
12	0.6	-0.8	-1.3	0.7	1.1	0.1	-1	-1.4	-0.2	-0.5	0.2	1.8	-0.4
13	-0.1	-0.5	-1.4	0.2	1.5	0.5	-1.1	-1.4	-0.7	-0.2	0.2	2.7	-1.4
14	0.4	-0.8	-1.3	0.2	1	0.6	-0.8	-1.1	-0.4	-0.1	-0.1	-0.2	-0.3
15	0.4	-0.8	-1.2	0.4	0.5	1.1	-1.2	-0.5	-0.5	-0.5	0.1	1.5	-0.7
16	0.5	-0.6	-1.3	0	0.7	0.1	-0.3	-1.1	-0.1	-0.2	-0.3	1.1	-0.4
17	0.2	-0.4	-1.1	0.6	1.1	0.6	-0.7	-0.8	-0.6	-0.1	0.1	1.6	-0.8
18	0.7	-1	-1.7	0.3	0.6	0.7	-1.3	-1.3	0.3	-0.2	-0.8	1	-1.1
19	0.1	-0.8	-1.4	0.8	0.3	0.4	-0.8	-1.3	-0.2	-0.3	-0.2	1.6	-0.7
20	0.1	-0.7	-1.5	0.6	0.7	0	-0.4	-1.2	0.1	-0.2	0.1	1.3	-0.4
21	0.8	-1.1	-1.3	0.1	0.7	0.5	-0.8	-1.2	0	-0.3	-0.1	1.3	-0.4
22	0.5	-0.7	-1.1	0.2	0.6	0.3	-0.4	-0.9	-0.2	-0.3	-0.2	1.2	-0.2
23	0.5	-0.4	-1.3	0.7	0.9	0	-0.5	-1.1	-0.3	-0.4	-0.1	0.4	-0.4
24	0.3	-0.7	-1.6	1.1	1.9	1.3	-1.5	-2.3	-0.8	0	-1	-0.2	-1.4
25	0.5	-0.5	-1.4	0.1	0.7	0.5	-0.6	-1	-0.3	-0.3	-0.2	1	-0.6
26	0.4	-0.5	-1.2	0.1	0.8	-0.1	0	-0.9	-0.2	-0.3	-0.1	0.2	-0.4
27	0.5	-0.6	-1.4	0.6	0.7	0.1	-0.5	-1.1	-0.3	-0.2	-0.3	0.6	-0.6
28	0.8	-0.7	-1.2	0.3	0.6	0.1	-0.3	-1.1	-0.3	-0.3	-0.2	0.9	-0.4
29	0.7	-0.8	-1.3	0.2	1	0.1	-0.6	-1.5	-0.2	-0.5	-0.3	1.2	-0.4
30	-0.1	-1.2	-1.4	0.2	1	0.4	-0.9	-1	-0.2	-0.2	-0.3	0.4	-0.7
31	0.7	-0.5	-1.4	0.1	0.6	0.4	-0.6	-1.1	-0.1	-0.4	0	0.9	-0.3
32	2.2	-1	0.7	-0.6	1.5	-0.1	-1.5	-1.6	-0.6	-0.1	-1.1	3.1	-1.1
33	-0.1	-0.6	-1.2	-0.3	1.4	-0.4	-0.5	-1.6	-0.4	-0.2	0.4	1.1	-0.9
34	0.5	-1	-1.5	0.1	0.9	0.1	-0.4	-0.6	-0.7	-0.2	0.2	1.1	-0.5
35	0.4	-0.6	-1	0.3	1.2	0.1	-0.2	-1	-0.4	-0.2	-0.4	0.6	-0.3
36	0.4	-0.7	-1.1	0.5	0.5	0.6	-0.4	-1.2	-0.2	-0.2	-0.1	1.4	-0.5
37	0.4	-0.4	-1.1	0.4	0.7	0.1	-0.2	-1	-0.1	-0.3	-0.2	0.6	-0.4
38	0.7	-0.1	-1.6	0.8	1.3	0.3	-1.1	-1.3	-0.1	-0.2	-0.3	0.3	-0.2
